"","NEGERI","variable","value"
"281","TERENGGANU","Minggu.19",15
"282","KELANTAN","Minggu.19",32
"283","SARAWAK","Minggu.19",44
"284","SABAH","Minggu.19",35
"285","LABUAN","Minggu.19",0
"286","PERLIS","Minggu.20",6
"287","KEDAH","Minggu.20",19
"288","PULAU PINANG","Minggu.20",27
"289","PERAK","Minggu.20",37
"290","SELANGOR","Minggu.20",370
"291","WPKL/PUTRAJAYA","Minggu.20",71
"292","N.SEMBILAN","Minggu.20",56
"293","MELAKA","Minggu.20",18
"294","JOHOR","Minggu.20",61
"295","PAHANG","Minggu.20",14
"296","TERENGGANU","Minggu.20",22
"297","KELANTAN","Minggu.20",32
"298","SARAWAK","Minggu.20",48
"299","SABAH","Minggu.20",53
"300","LABUAN","Minggu.20",0
"301","PERLIS","Minggu.21",3
"302","KEDAH","Minggu.21",33
"303","PULAU PINANG","Minggu.21",21
"304","PERAK","Minggu.21",38
"305","SELANGOR","Minggu.21",287
"306","WPKL/PUTRAJAYA","Minggu.21",81
"307","N.SEMBILAN","Minggu.21",40
"308","MELAKA","Minggu.21",17
"309","JOHOR","Minggu.21",90
"310","PAHANG","Minggu.21",34
"311","TERENGGANU","Minggu.21",15
"312","KELANTAN","Minggu.21",45
"313","SARAWAK","Minggu.21",46
"314","SABAH","Minggu.21",39
"315","LABUAN","Minggu.21",0
"316","PERLIS","Minggu.22",2
"317","KEDAH","Minggu.22",25
"318","PULAU PINANG","Minggu.22",21
"319","PERAK","Minggu.22",54
"320","SELANGOR","Minggu.22",311
"321","WPKL/PUTRAJAYA","Minggu.22",83
"322","N.SEMBILAN","Minggu.22",50
"323","MELAKA","Minggu.22",14
"324","JOHOR","Minggu.22",96
"325","PAHANG","Minggu.22",27
"326","TERENGGANU","Minggu.22",11
"327","KELANTAN","Minggu.22",33
"328","SARAWAK","Minggu.22",44
"329","SABAH","Minggu.22",43
"330","LABUAN","Minggu.22",0
"331","PERLIS","Minggu.23",5
"332","KEDAH","Minggu.23",17
"333","PULAU PINANG","Minggu.23",23
"334","PERAK","Minggu.23",78
"335","SELANGOR","Minggu.23",286
"336","WPKL/PUTRAJAYA","Minggu.23",66
"337","N.SEMBILAN","Minggu.23",70
"338","MELAKA","Minggu.23",13
"339","JOHOR","Minggu.23",91
"340","PAHANG","Minggu.23",57
"341","TERENGGANU","Minggu.23",7
"342","KELANTAN","Minggu.23",32
"343","SARAWAK","Minggu.23",54
"344","SABAH","Minggu.23",91
"345","LABUAN","Minggu.23",1
"346","PERLIS","Minggu.24",3
"347","KEDAH","Minggu.24",14
"348","PULAU PINANG","Minggu.24",31
"349","PERAK","Minggu.24",66
"350","SELANGOR","Minggu.24",325
"351","WPKL/PUTRAJAYA","Minggu.24",76
"352","N.SEMBILAN","Minggu.24",65
"353","MELAKA","Minggu.24",13
"354","JOHOR","Minggu.24",113
